,ID,url,title,description
11077,943147,https://www.boursorama.com/bourse/actualites/analyse-mi-seance-aof-france-europe-le-cac-40-accelere-a-la-hausse-quand-une-mauvaise-nouvelle-pourrait-en-entrainer-une-bonne-46176f1196c582d341f2aeb17739a462,Analyse mi-séance AOF France/Europe - Le CAC 40 accélère à la hausse : quand une mauvaise nouvelle pourrai - Boursorama,"(AOF) - Les marchés européens progressent nettement à la mi-séance, les futures sur les indices américains ne cessant d'accroître leurs gains. Les indices des directeurs d'achat européens pour septembre ont pourtant déçu en raison de la faiblesse de l'activit…"
11562,978510,https://www.leparisien.fr/culture-loisirs/tv/le-jt-de-13-heures-les-critiques-le-cancer-les-confidences-de-jean-pierre-pernaut-25-09-2020-8391153.php,"Le JT de 13 Heures, les critiques, le cancer... les confidences de Jean-Pierre Pernaut - Le Parisien","LE PARISIEN WEEK-END. Après plus de trente ans à la tête du 13 Heures de TF1, Jean-Pierre Pernaut a annoncé son départ d’une édition qu’il a"
99596,7355172,https://www.lexpress.fr/actualite/sciences/mission-defense-planetaire-dart-la-sonde-missile-de-la-nasa-a-l-assaut-d-un-asteroide_2161859.html,"Mission ""défense planétaire"" : Dart, la sonde-missile de la Nasa à l'assaut d'un astéroïde - L'Express","L'agence spatiale américaine va envoyer un ""impacteur cinétique"" contre un astéroïde afin de tester la capacité des terriens à se défendre contre les menaces planétaires."
11074,942921,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9dnpjeVJWckhaRU3SAQA?oc=5,NEYMAR : un contrat XXL qui surclasse RONALDO et MESSI ! Le test BIDON de SUAREZ en Italie - Top Mercato,
55834,4139516,https://www.public.fr/News/Mort-de-Moussa-Theophile-Sowie-celebre-postier-du-film-Les-Visiteurs-1671890,"Mort de Moussa Théophile Sowié, célèbre postier du film Les Visiteurs - Public","L’acteur burkinabé Moussa Théophile Sowié est décédé le 7 avril, a révélé lundi 12 avril l’agence Centre Presse Aveyron. On ignore pour le moment les causes de sa disparition. Si le patronyme de l’acteur ne vous dit peut-être pas grand-chose, vous connaissez …"
5248,498062,https://www.phonandroid.com/jean-castex-appelle-a-revoir-la-chronologie-des-medias-pour-avantager-les-plates-formes-de-streaming.html,"Netflix, Disney+, Prime Video : Jean Castex veut faire évoluer la chronologie des médias - PhonAndroid",Le premier ministre Jean Castex s’est dit favorable à l’ouverture de la discussion pour repenser la chronologie des médias en France. Le but est ici de s’adapter aux nouvelles modes de consommations via les plates-formes de streaming peu compatibles avec les …
14030,1163623,https://www.macg.co/aapl/2020/10/preparatifs-en-apple-store-du-16-au-17-octobre-116847,Des préparatifs en Apple Store la nuit du 16 au 17 octobre - MacGeneration,"Les Apple Store ont programmé une « nuit VM » le soir du vendredi 16 au samedi 17 octobre. « VM » pour « visual merchandising », cela décrit tous les contenus marketing et produits visibles par les clients des Apple Store, sur les murs et sur les tables, afin…"
1962,208443,http://www.lefigaro.fr/musique/les-gros-doutes-de-docteur-akhenaton-et-mister-bhl-sur-l-epidemie-de-coronavirus-20200814,Les gros doutes de Docteur Akhenaton et Mister BHL sur l'épidémie de coronavirus - Le Figaro,Le rappeur marseillais du groupe IAM s'est laissé aller à quelques suppositions polémiques sur le virus tandis que Bernard-Henri Lévy s'énerve quand on parle de deuxième vague de l'épidémie.
30455,2356410,https://www.clubic.com/pro/it-business/securite-et-donnees/actualite-25438-avec-son-calendrier-en-beta-sur-android-protonmail-devient-une-alternative-attractive-a-google.html,"Avec son calendrier en bêta sur Android, ProtonMail devient une alternative attractive à Google - Clubic",L'équipe de ProtonMail a annoncé hier soir la disponibilité de son calendrier en version bêta sur Android. La société se rapproche un peu plus de son but initial : proposer une version sécurisée de Gmail.
82580,6106353,https://www.sofoot.com/charlie-watts-comme-un-air-de-gordon-banks-e2-80-a6-503391.html,"Charlie Watts, comme un air de Gordon Banks… - SO FOOT","L’immense batteur des Rolling Stones, Charlie Watts, nous a quittés mardi à l’âge de 80 ans."
95265,7046435,https://www.futura-sciences.com/sciences/actualites/espace-lancement-crew-dragon-quatre-astronautes-prevu-demain-reporte-94439/,"Le lancement de Crew Dragon avec quatre astronautes, prévu demain, est reporté ! - Futura",La lancement pour le quatrième vol habité du vaisseau spatial Crew Dragon de la société SpaceX qui devait avoir lieu ce dimanche a été reporté pour cause de météo défavorable. L’équipage devrait...
9758,845360,https://www.melty.fr/loana-victime-de-violences-conjugales-kelly-vedovelli-fait-des-revelations-en-larmes-dans-tpmp-a732791.html,"Loana victime de violences conjugales, Kelly Vedovelli fait des révélations en larmes dans TPMP - melty","Après avoir découvert les photos de Loana victime de violences conjugales sur Instagram, Kelly Vedovelli a fait de grosses révélations sur la candidate de télé-réalité."
4732,455867,https://www.leparisien.fr/sports/cyclisme/tour-de-france-2020-une-edition-d-un-nouveau-genre-qui-s-annonce-passionnante-29-08-2020-8374920.php,Tour de France 2020 : une édition d'un nouveau genre qui s'annonce passionnante - Le Parisien,"Décalée à la fin de l’été en raison de la pandémie de Covid-19, la Grande Boucle, qui s’élance de Nice ce samedi, devrait être captivante av"
